"dpcd","departmentName","departmentDetails","departmentInfo"
"001","VICE CHANCELLOR'S OFFICE","0","0"
"011","REGISTRAR OFFICE","0","REGISTRAR"
"021","FINANCE SECTION","0","FINANCE"
"022","ESTABLISHMENT SECTION","0","ESTABLISH"
"023","STORES SECTION","0","STORES"
"024","ACCOUNTS SECTION","0","ACCOUNTS"
"025","INTERNAL AUDIT SECTION","0","INT. AUDIT"
"031","DEPUTY REGISTRAR'S OFFICE","0","DY.REG"
"032","ADMINISTRATION SECTION","0","ADMN.SEC."
"033","ACADEMIC SECTION","0","ACADM.SEC."
"034","DEVELOPMENT SECTION","0","DEVP.SEC."
"035","ADM/DSW","0","ADM/DSW"
"036","CLASS FOUR EMPLOYEES","0","CLASS IV"
"041","EXAMINATION SECTION","0","EXAMS"
"042","CENTRAL VALUATION & REVALUATION","0","VALUATION"
"051","EXAMS. CONFIDENTIAL SECTION","0","CONFIDEN."
"052","ENQUIRY & STUDENT INFO. CENTRE","0","ENQUIRY"
"053","LIBRARY SECTION","0","LIB.SEC."
"054","STUDY CENTRE","0","STUDY CNTR"
"055","DEAN STUDENT WELFARE","0","DEAN SW"
"057","LAND ACQ.","0","LAND ACQ."
"060","ENGINEERING SECTION","0","ENG.SEC."
"061","WORK CARG. EMP.","0","WRKCHREMP"
"062","ENGINEERING COLLEGE","0","ENG.COLEG"
"063","V.V.REST HOUSE","0","RESTHOUSE"
"064","DEVELOPMENT COUNCIL","0","DEVP.CON"
"065","N.S.S.","0","NSS"
"066","SC/ST CELL","0","SC/ST CELL"
"069","ADMISTRATION/DEAN STUDENT WELF","0","ADM.DEN.SW"
"098","PRINTING PRESS","0","P.PRESS"
"099","PRESS WORKERS","0","P.WORKERS"
"100","PRESS WORKERS (SELF FINANCE)","PART-4 (SELF FINANCE)","PRESS SFIN"
"103","BAHAI'S STUDIES","0","BAHAITEACH"
"105","3 EXAMS. (SELF FINANCE)","0","EXAM(S.F.)"
"201","SCHOOL OF EDUCATION","PART I TEACHING 2(2)","SC.OF EDU"
"205","I.M.S. (TEACHING)","PART I TEACHING 2(4)","IMS-TECH-A"
"207","SCHOOL OF PHYSICS","PART I TEACHING 2(5)","SC.OF PHY."
"213","U.S.I.C. (TEACHING)","PART I TEACHING 2(6)","USIC"
"217","SCHOOL OF MATHEMATICS","PART I TEACHING 2(7)","SC.OF MATH"
"221","SCHOOL OF STATISTICS","PART I TEACHING 2(8)","SC OF STAT"
"225","SCHOOL OF LIFE SCIENCES","PART I TEACHING 2(9)","SC.OF L.SC"
"229","SCHOOL OF CHEMISTRY","PART I TEACHING 2(11)","SC.OF CHEM"
